location,category,parentCategory
"West Hollywood, California",Entertainment and cultural attractions,Entertainment & Culture
"Bellevue, Washington",Tech industry and business,Business & Tech
"Williams, Arizona",Natural attractions,Nature & Outdoors
"Las Vegas, Nevada",Casinos and entertainment,Entertainment & Culture
"Valley of Fire, Nevada",Natural attractions,Nature & Outdoors
"Niagara Falls, New York",Natural attractions,Nature & Outdoors
"Wharton, New Jersey",Residential,Residential
"San Francisco, California",Cultural attractions and landmarks,Entertainment & Culture
"Broadway, New York",Entertainment and cultural attractions,Entertainment & Culture
"Auburn, Washington",Residential,Residential
"Seattle, Washington",Cultural attractions and outdoors,Entertainment & Culture
"Portland, Oregon",Cultural attractions and outdoors,Entertainment & Culture
"Beverly Hills, California",Luxury shopping and entertainment,Entertainment & Culture
"California City, California",Natural attractions,Nature & Outdoors
"Orlando, Florida",Theme parks,Amusement & Theme Parks
"Santa Monica, California",Beach and boardwalk,Beach & Waterfront
"Los Angeles, California",Entertainment and cultural attractions,Entertainment & Culture
"Sausalito, California",Scenic views and outdoors,Nature & Outdoors
"Menlo Park, California",Tech industry and business,Business & Tech
"Ocean City, New Jersey",Beach and boardwalk,Beach & Waterfront
"Hackberry, Arizona",Natural attractions,Nature & Outdoors
"Wickenburg, Arizona",Historical and cultural,Historical & Cultural
"Bangor, Maine",Residential,Residential
"Miami, Florida",Beach and nightlife,Beach & Waterfront
"Dallas, Texas",Business and cultural attractions,Business & Tech
"New York, New York",Cultural attractions and landmarks,Entertainment & Culture
"Santa Fe, New Mexico",Cultural attractions and outdoors,Entertainment & Culture
"Davenport, California",Natural attractions,Nature & Outdoors
"Key West, Florida",Beach and nightlife,Beach & Waterfront
"New Orleans, Louisiana",Cultural attractions and nightlife,Entertainment & Culture
"Hollister, California",Natural attractions,Nature & Outdoors
"Boulder, Colorado",Outdoors and natural attractions,Nature & Outdoors
"Naples, Florida",Beach and relaxation,Beach & Waterfront
"Boulder City, Nevada",Natural attractions,Nature & Outdoors
"Chicago, Illinois",Cultural attractions and landmarks,Entertainment & Culture
"Philadelphia, Pennsylvania",Cultural attractions and landmarks,Entertainment & Culture
"Vegas, Nevada",Casinos and entertainment,Entertainment & Culture
"San Antonio, Texas",Historical and cultural,Historical & Cultural
"Austin, Texas",Cultural attractions and nightlife,Entertainment & Culture
"San Diego, California",Beach and outdoors,Beach & Waterfront
"Carmel, California",Natural attractions,Nature & Outdoors
"Long Beach, California",Beach and cultural attractions,Beach & Waterfront
"Redondo Beach, California",Beach and boardwalk,Beach & Waterfront
"Lost Hills, California",Natural attractions,Nature & Outdoors
"Lynchburg, Tennessee",Historical and cultural,Historical & Cultural
"Manhattan, New York",Cultural attractions and landmarks,Entertainment & Culture
"Calico, California",Historical and cultural,Historical & Cultural
"Cave Junction, Oregon",Natural attractions,Nature & Outdoors
"The Metropolitan Museum of Art, New York",Cultural attractions and landmarks,Entertainment & Culture
"Cleveland, Ohio",Cultural attractions and business,Business & Tech
"Mammoth Lakes, California",Natural attractions,Nature & Outdoors
"Grand Canyon, Arizona",Natural attractions,Nature & Outdoors
"Avon-by-the-Sea, New Jersey",Beach and boardwalk,Beach & Waterfront
"Jacksonville, Florida",Business and beach,Business & Tech
"Miami Beach, Florida",Beach and nightlife,Beach & Waterfront
"Red Wing, Minnesota",Historical and cultural,Historical & Cultural
"Harvard, Massachusetts",Educational and cultural,Education & Culture
"Round Top, Texas",Cultural attractions and events,Entertainment & Culture
"Muhlenberg, Pennsylvania",Residential,Residential
"Reston, Virginia",Business and residential,Residential
"Golden Gate Bridge, California",Landmark and scenic views,Nature & Outdoors
"Laguna Beach, California",Beach and relaxation,Beach & Waterfront
"Providence, Rhode Island",Cultural attractions and education,Education & Culture
"Newport Beach, California",Beach and luxury,Beach & Waterfront
"Palos Verdes Estates, California",Beach and scenic views,Beach & Waterfront
"San Jose, California",Tech industry and business,Business & Tech
"Santa Barbara, California",Beach and relaxation,Beach & Waterfront
"Ontario, California",Residential and business,Residential
"Malibu, California",Beach and scenic views,Beach & Waterfront
"Denver, Colorado",Cultural attractions and outdoors,Entertainment & Culture
"Venice, California",Beach and boardwalk,Beach & Waterfront
"Atlanta, Georgia",Business and cultural attractions,Business & Tech
"Dana Point, California",Beach and relaxation,Beach & Waterfront
"Poway, California",Residential,Residential
"Hoboken, New Jersey",Residential and cultural attractions,Residential
"Bakersfield, California",Residential,Residential
"Boston, Massachusetts",Cultural attractions and education,Education & Culture
"Brooklyn, New York",Cultural attractions and residential,Residential
"McKinney, Texas",Residential,Residential
"Pebble Beach, California",Natural attractions,Nature & Outdoors
"Newark, New Jersey",Business and residential,Residential
"Big Sur, California",Natural attractions,Nature & Outdoors
"Wausau, Wisconsin",Residential,Residential
"Delaware, Ohio",Residential,Residential
"Estes Park, Colorado",Natural attractions,Nature & Outdoors
"West New York, New Jersey",Residential,Residential
"Joshua Tree, California",Natural attractions,Nature & Outdoors
"Fort Collins, Colorado",Cultural attractions and outdoors,Entertainment & Culture
"North Miami, Florida",Residential,Residential
"San Miguel, California",Historical and cultural,Historical & Cultural
"Garden Grove, California",Residential,Residential
"Franconia, New Hampshire",Natural attractions,Nature & Outdoors
"Frisco, Texas",Residential,Residential
"South Lake Tahoe, California",Natural attractions,Nature & Outdoors
"Cary, North Carolina",Residential,Residential
"Monterey, California",Natural attractions,Nature & Outdoors
"Cambridge, Massachusetts",Educational and cultural,Education & Culture
"Glendale, California",Residential and business,Residential
"Wynwood, Florida",Cultural attractions and nightlife,Entertainment & Culture
"Sunrise Manor, Nevada",Residential,Residential
"Cape Elizabeth, Maine",Natural attractions,Nature & Outdoors
"Aliso Viejo, California",Residential,Residential
"Grand Prairie, Texas",Residential,Residential
"Petaluma, California",Natural attractions,Nature & Outdoors
"Leggett, California",Natural attractions,Nature & Outdoors
"Sunnyvale, California",Residential,Residential
"Mammoth, California",Natural attractions,Nature & Outdoors
"West Springfield, Virginia",Residential,Residential
"Ann Arbor, Michigan",Educational,Education
"Fremont, California",Residential,Residential
Rockefeller Centre New York City,Cultural,Entertainment & Culture
"Huntington Beach, California",Beaches,Beach & Waterfront
"Fort Worth, Texas",Urban Attractions,Urban & Downtown
"Indianapolis, Indiana",Urban Attractions,Urban & Downtown
"Phoenix, Arizona",Urban Attractions,Urban & Downtown
"Bryn Mawr, Pennsylvania",Educational,Education
"Albuquerque, New Mexico",Urban Attractions,Urban & Downtown
"Oklahoma City, Oklahoma",Urban Attractions,Urban & Downtown
"Howard County, Maryland",Residential,Residential
"Tulsa, Oklahoma",Urban Attractions,Urban & Downtown
"Silicon Valley, California",Business and Technology,Business & Tech
"Euless, Texas",Residential,Residential
"Redwoods, California",Natural attractions,Nature & Outdoors
"Shark River Hills, New Jersey",Residential,Residential
"Portland, Maine",Urban Attractions,Urban & Downtown
"Thackerville, Oklahoma",Casinos,Entertainment & Culture
"Reading, Pennsylvania",Residential,Residential
"Attleboro, Massachusetts",Residential,Residential
"Asbury Park, New Jersey",Beaches,Beach & Waterfront
"Bradley Beach, New Jersey",Beaches,Beach & Waterfront
"Kennebunkport, Maine",Beaches,Beach & Waterfront
"Southlake, Texas",Residential,Residential
"Ripton, Vermont",Natural attractions,Nature & Outdoors
"Madison, New Jersey",Residential,Residential
"Grand Canyon Village, Arizona",Natural attractions,Nature & Outdoors
"Stone Mountain, Georgia",Natural attractions,Nature & Outdoors
"Lake Charles, Louisiana",Urban Attractions,Urban & Downtown
"Sequoia National Park, California",Natural attractions,Nature & Outdoors
"Stowe, Vermont",Natural attractions,Nature & Outdoors
"Bodie, California",Historical,Historical & Cultural
"Aurora, Colorado",Residential,Residential
New York City,Urban Attractions,Urban & Downtown
"Oatman, Arizona",Historical,Historical & Cultural
"Walapai, Arizona",Natural attractions,Nature & Outdoors
"North Bay Village, Florida",Beaches,Beach & Waterfront
"Lewis Center, Ohio",Residential,Residential
"Holland, Michigan",Beaches,Beach & Waterfront
"Annapolis, Maryland",Historical,Historical & Cultural
"Sullivan, New York",Residential,Residential
"Detroit, Michigan",Urban Attractions,Urban & Downtown
"Franklin Lakes, New Jersey",Residential,Residential
"Flagstaff, Arizona",Natural attractions,Nature & Outdoors
"New Hope, Pennsylvania",Historical,Historical & Cultural
"Livingston, Alabama",Residential,Residential
"Reno, Nevada",Casinos,Entertainment & Culture
"Arlington, Virginia",Urban Attractions,Urban & Downtown
"Pittsburgh, Pennsylvania",Urban Attractions,Urban & Downtown
"Islamorada, Florida",Beaches,Beach & Waterfront
"Revere, Massachusetts",Beaches,Beach & Waterfront
"Niland, California",Natural attractions,Nature & Outdoors
"Quilcene, Washington",Natural attractions,Nature & Outdoors
"Nashville, Tennessee",Music and Entertainment,Entertainment & Culture
"Queensbury, New York",Residential,Residential
"Gulfport, Mississippi",Beaches,Beach & Waterfront
"Yosemite Valley, California",Natural attractions,Nature & Outdoors
"Lakewood, New Jersey",Residential,Residential
"Orangevale, California",Residential,Residential
"Plantation, Florida",Residential,Residential
"North Potomac, Maryland",Residential,Residential
"Milwaukee, Wisconsin",Urban Attractions,Urban & Downtown
"Grand Beach, Michigan",Beaches,Beach & Waterfront
"Wixom, Michigan",Residential,Residential
"Fairfield, Iowa",Residential,Residential
"Provincetown, Massachusetts",Beaches,Beach & Waterfront
"Greendale, Wisconsin",Residential,Residential
"Scottsdale, Arizona",Urban Attractions,Urban & Downtown
"Minneapolis, Minnesota",Urban Attractions,Urban & Downtown
"Coronado, California",Beaches,Beach & Waterfront
"Rochester, New York",Urban Attractions,Urban & Downtown
"Essex County, New Jersey",Residential,Residential
"Saint Augustine, Florida",Historical,Historical & Cultural
"Georgetown, Delaware",Residential,Residential
"Lake Geneva, Wisconsin",Beaches,Beach & Waterfront
"Leavenworth, Washington",Historical,Historical & Cultural
"Burbank, California",Urban Attractions,Urban & Downtown
"Salt Lake City, Utah",Urban Attractions,Urban & Downtown
"Saint Petersburg, Florida",Beaches,Beach & Waterfront
"Santa Cruz, California",Beaches,Beach & Waterfront
"Brighton, Colorado",Residential,Residential
"Florence, Arizona",Historical,Historical & Cultural
"Springfield, Massachusetts",Urban Attractions,Urban & Downtown
"Astoria, New York",Residential,Residential
