"Location","Category"
"West Hollywood, California","Entertainment and cultural attractions"
"Bellevue, Washington","Tech industry and business"
"Williams, Arizona","Natural attractions"
"Las Vegas, Nevada","Casinos and entertainment"
"Valley of Fire, Nevada","Natural attractions"
"Niagara Falls, New York","Natural attractions"
"Wharton, New Jersey","Residential"
"San Francisco, California","Cultural attractions and landmarks"
"Broadway, New York","Entertainment and cultural attractions"
"Auburn, Washington","Residential"
"Seattle, Washington","Cultural attractions and outdoors"
"Portland, Oregon","Cultural attractions and outdoors"
"Beverly Hills, California","Luxury shopping and entertainment"
"California City, California","Natural attractions"
"Orlando, Florida","Theme parks"
"Santa Monica, California","Beach and boardwalk"
"Los Angeles, California","Entertainment and cultural attractions"
"Sausalito, California","Scenic views and outdoors"
"Menlo Park, California","Tech industry and business"
"Ocean City, New Jersey","Beach and boardwalk"
"Hackberry, Arizona","Natural attractions"
"Wickenburg, Arizona","Historical and cultural"
"Bangor, Maine","Residential"
"Miami, Florida","Beach and nightlife"
"Dallas, Texas","Business and cultural attractions"
"New York, New York","Cultural attractions and landmarks"
"Santa Fe, New Mexico","Cultural attractions and outdoors"
"Davenport, California","Natural attractions"
"Key West, Florida","Beach and nightlife"
"New Orleans, Louisiana","Cultural attractions and nightlife"
"Hollister, California","Natural attractions"
"Boulder, Colorado","Outdoors and natural attractions"
"Naples, Florida","Beach and relaxation"
"Boulder City, Nevada","Natural attractions"
"Chicago, Illinois","Cultural attractions and landmarks"
"Philadelphia, Pennsylvania","Cultural attractions and landmarks"
"Vegas, Nevada","Casinos and entertainment"
"San Antonio, Texas","Historical and cultural"
"Austin, Texas","Cultural attractions and nightlife"
"San Diego, California","Beach and outdoors"
"Carmel, California","Natural attractions"
"Long Beach, California","Beach and cultural attractions"
"Redondo Beach, California","Beach and boardwalk"
"Lost Hills, California","Natural attractions"
"Lynchburg, Tennessee","Historical and cultural"
"Manhattan, New York","Cultural attractions and landmarks"
"Calico, California","Historical and cultural"
"Cave Junction, Oregon","Natural attractions"
"The Metropolitan Museum of Art, New York","Cultural attractions and landmarks"
"Cleveland, Ohio","Cultural attractions and business"
"Mammoth Lakes, California","Natural attractions"
"Grand Canyon, Arizona","Natural attractions"
"Avon-by-the-Sea, New Jersey","Beach and boardwalk"
"Jacksonville, Florida","Business and beach"
"Miami Beach, Florida","Beach and nightlife"
"Red Wing, Minnesota","Historical and cultural"
"Harvard, Massachusetts","Educational and cultural"
"Round Top, Texas","Cultural attractions and events"
"Muhlenberg, Pennsylvania","Residential"
"Reston, Virginia","Business and residential"
"Golden Gate Bridge, California","Landmark and scenic views"
"Laguna Beach, California","Beach and relaxation"
"Providence, Rhode Island","Cultural attractions and education"
"Newport Beach, California","Beach and luxury"
"Palos Verdes Estates, California","Beach and scenic views"
"San Jose, California","Tech industry and business"
"Santa Barbara, California","Beach and relaxation"
"Ontario, California","Residential and business"
"Malibu, California","Beach and scenic views"
"Denver, Colorado","Cultural attractions and outdoors"
"Venice, California","Beach and boardwalk"
"Atlanta, Georgia","Business and cultural attractions"
"Dana Point, California","Beach and relaxation"
"Poway, California","Residential"
"Hoboken, New Jersey","Residential and cultural attractions"
"Bakersfield, California","Residential"
"Boston, Massachusetts","Cultural attractions and education"
"Brooklyn, New York","Cultural attractions and residential"
"McKinney, Texas","Residential"
"Pebble Beach, California","Natural attractions"
"Newark, New Jersey","Business and residential"
"Big Sur, California","Natural attractions"
"Wausau, Wisconsin","Residential"
"Delaware, Ohio","Residential"
"Estes Park, Colorado","Natural attractions"
"West New York, New Jersey","Residential"
"Joshua Tree, California","Natural attractions"
"Fort Collins, Colorado","Cultural attractions and outdoors"
"North Miami, Florida","Residential"
"San Miguel, California","Historical and cultural"
"Garden Grove, California","Residential"
"Franconia, New Hampshire","Natural attractions"
"Frisco, Texas","Residential"
"South Lake Tahoe, California","Natural attractions"
"Cary, North Carolina","Residential"
"Monterey, California","Natural attractions"
"Cambridge, Massachusetts","Educational and cultural"
"Glendale, California","Residential and business"
"Wynwood, Florida","Cultural attractions and nightlife"
"Sunrise Manor, Nevada","Residential"
"Cape Elizabeth, Maine","Natural attractions"
"Aliso Viejo, California","Residential"
"Grand Prairie, Texas","Residential"
"Location","Category"
"Carmel, California","Natural Attractions"
"Long Beach, California","Beaches"
"Redondo Beach, California","Beaches"
"Lost Hills, California","Natural Attractions"
"Lynchburg, Tennessee","Historical"
"Manhattan, New York","Urban Attractions"
"Calico, California","Historical"
"Cave Junction, Oregon","Natural Attractions"
"The Metropolitan Museum of Art, New York","Cultural"
"Cleveland, Ohio","Urban Attractions"
"Mammoth Lakes, California","Natural Attractions"
"Grand Canyon, Arizona","Natural Attractions"
"Avon-by-the-Sea, New Jersey","Beaches"
"Jacksonville, Florida","Urban Attractions"
"Miami Beach, Florida","Beaches"
"Red Wing, Minnesota","Natural Attractions"
"Harvard, Massachusetts","Educational"
"Round Top, Texas","Historical"
"Muhlenberg, Pennsylvania","Residential"
"Reston, Virginia","Residential"
"Golden Gate Bridge, California","Cultural"
"Laguna Beach, California","Beaches"
"Providence, Rhode Island","Cultural"
"Newport Beach, California","Beaches"
"Palos Verdes Estates, California","Beaches"
"San Jose, California","Urban Attractions"
